seed,method,ndcg_at_k,precision_at_k,cost_savings_pct,right_sizing_error
0,Proposed,0.8589,0.8,66.5,3.2207
0,Random,0.9125,0.8,17.07,3.077
0,Heuristic,1.0,1.0,63.41,3.9062
0,CherryPick,0.8304,1.0,64.11,3.3593
0,Micky,0.9287,1.0,23.24,6.0998
1,Proposed,0.8589,0.8,66.5,3.2207
1,Random,0.8412,0.8,-13.21,3.1998
1,Heuristic,1.0,1.0,63.41,3.9062
1,CherryPick,0.8304,1.0,64.11,3.3593
1,Micky,0.7867,1.0,44.12,4.2832
2,Proposed,0.8589,0.8,66.5,3.2207
2,Random,0.856,0.8,5.73,2.6849
2,Heuristic,1.0,1.0,63.41,3.9062
2,CherryPick,0.8304,1.0,64.11,3.3593
2,Micky,0.8432,1.0,49.75,4.9696
3,Proposed,0.8589,0.8,66.5,3.2207
3,Random,0.8383,0.8,-14.49,5.154
3,Heuristic,1.0,1.0,63.41,3.9062
3,CherryPick,0.8304,1.0,64.11,3.3593
3,Micky,0.9076,1.0,46.19,1.9405
4,Proposed,0.8589,0.8,66.5,3.2207
4,Random,0.8383,0.8,6.12,2.4926
4,Heuristic,1.0,1.0,63.41,3.9062
4,CherryPick,0.8304,1.0,64.11,3.3593
4,Micky,0.9563,1.0,32.63,5.5716
5,Proposed,0.8589,0.8,66.5,3.2207
5,Random,0.7945,1.0,-15.26,2.7109
5,Heuristic,1.0,1.0,63.41,3.9062
5,CherryPick,0.8304,1.0,64.11,3.3593
5,Micky,1.0,1.0,47.36,5.1936
6,Proposed,0.8589,0.8,66.5,3.2207
6,Random,0.7974,0.8,23.45,2.3259
6,Heuristic,1.0,1.0,63.41,3.9062
6,CherryPick,0.8304,1.0,64.11,3.3593
6,Micky,0.8383,1.0,64.11,3.3593
7,Proposed,0.8589,0.8,66.5,3.2207
7,Random,0.7945,1.0,-17.97,4.0446
7,Heuristic,1.0,1.0,63.41,3.9062
7,CherryPick,0.8304,1.0,64.11,3.3593
7,Micky,1.0,1.0,42.57,5.7748
8,Proposed,0.8589,0.8,66.5,3.2207
8,Random,0.6122,0.8,-0.21,2.8519
8,Heuristic,1.0,1.0,63.41,3.9062
8,CherryPick,0.8304,1.0,64.11,3.3593
8,Micky,1.0,1.0,28.22,7.3852
9,Proposed,0.8589,0.8,66.5,3.2207
9,Random,0.8412,0.8,-0.97,3.5062
9,Heuristic,1.0,1.0,63.41,3.9062
9,CherryPick,0.8304,1.0,64.11,3.3593
9,Micky,0.8284,1.0,41.48,4.7884
